cve_ent,nom_ent,fecha_publica,fecha_inicio,fecha_fin,color_sem,nivel
17,Morelos,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
18,Nayarit,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
19,Nuevo León,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
20,Oaxaca,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
21,Puebla,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
22,Querétaro,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
23,Quintana Roo,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
24,San Luis Potosí,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
25,Sinaloa,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
26,Sonora,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
27,Tabasco,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
28,Tamaulipas,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
29,Tlaxcala,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
30,Veracruz de Ignacio de la Llave,03/07/2020,06/07/2020,19/07/2020,Rojo,Máximo
31,Yucatán,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
32,Zacatecas,03/07/2020,06/07/2020,19/07/2020,Naranja,Alto
1,Aguascalientes,17/07/2020,20/07/2020,02/08/2020,Naranja,Alto
2,Baja California,17/07/2020,20/07/2020,02/08/2020,Naranja,Alto
3,Baja California Sur,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
4,Campeche,17/07/2020,20/07/2020,02/08/2020,Naranja,Alto
5,Coahuila de Zaragoza,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
6,Colima,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
7,Chiapas,17/07/2020,20/07/2020,02/08/2020,Naranja,Alto
8,Chihuahua,17/07/2020,20/07/2020,02/08/2020,Naranja,Alto
9,Ciudad de México,17/07/2020,20/07/2020,02/08/2020,Naranja,Alto
10,Durango,17/07/2020,20/07/2020,02/08/2020,Naranja,Alto
11,Guanajuato,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
12,Guerrero,17/07/2020,20/07/2020,02/08/2020,Naranja,Alto
13,Hidalgo,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
14,Jalisco,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
15,México,17/07/2020,20/07/2020,02/08/2020,Naranja,Alto
16,Michoacán de Ocampo,17/07/2020,20/07/2020,02/08/2020,Naranja,Alto
17,Morelos,17/07/2020,20/07/2020,02/08/2020,Naranja,Alto
18,Nayarit,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
19,Nuevo León,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
20,Oaxaca,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
21,Puebla,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
22,Querétaro,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
23,Quintana Roo,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
24,San Luis Potosí,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
25,Sinaloa,17/07/2020,20/07/2020,02/08/2020,Naranja,Alto
26,Sonora,17/07/2020,20/07/2020,02/08/2020,Naranja,Alto
27,Tabasco,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
28,Tamaulipas,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
29,Tlaxcala,17/07/2020,20/07/2020,02/08/2020,Naranja,Alto
30,Veracruz de Ignacio de la Llave,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
31,Yucatán,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
32,Zacatecas,17/07/2020,20/07/2020,02/08/2020,Rojo,Máximo
1,Aguascalientes,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
2,Baja California,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
3,Baja California Sur,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
4,Campeche,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
5,Coahuila de Zaragoza,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
6,Colima,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
7,Chiapas,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
8,Chihuahua,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
9,Ciudad de México,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
10,Durango,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
11,Guanajuato,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
12,Guerrero,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
13,Hidalgo,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
14,Jalisco,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
15,México,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
16,Michoacán de Ocampo,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
17,Morelos,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
18,Nayarit,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
19,Nuevo León,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
20,Oaxaca,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
21,Puebla,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
22,Querétaro,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
23,Quintana Roo,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
24,San Luis Potosí,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
25,Sinaloa,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
26,Sonora,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
27,Tabasco,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
28,Tamaulipas,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
29,Tlaxcala,31/07/2020,03/08/2020,16/08/2020,Naranja,Alto
30,Veracruz de Ignacio de la Llave,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
31,Yucatán,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
32,Zacatecas,31/07/2020,03/08/2020,16/08/2020,Rojo,Máximo
1,Aguascalientes,14/08/2020,17/08/2020,30/08/2020,Rojo,Máximo
2,Baja California,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
3,Baja California Sur,14/08/2020,17/08/2020,30/08/2020,Rojo,Máximo
4,Campeche,14/08/2020,17/08/2020,30/08/2020,Amarillo,Medio
5,Coahuila de Zaragoza,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
6,Colima,14/08/2020,17/08/2020,30/08/2020,Rojo,Máximo
7,Chiapas,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
8,Chihuahua,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
9,Ciudad de México,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
10,Durango,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
11,Guanajuato,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
12,Guerrero,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
13,Hidalgo,14/08/2020,17/08/2020,30/08/2020,Rojo,Máximo
14,Jalisco,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
15,México,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
16,Michoacán de Ocampo,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
17,Morelos,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
18,Nayarit,14/08/2020,17/08/2020,30/08/2020,Rojo,Máximo
19,Nuevo León,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
20,Oaxaca,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
21,Puebla,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
22,Querétaro,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
23,Quintana Roo,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
24,San Luis Potosí,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
25,Sinaloa,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
26,Sonora,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
27,Tabasco,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
28,Tamaulipas,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
29,Tlaxcala,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
30,Veracruz de Ignacio de la Llave,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
31,Yucatán,14/08/2020,17/08/2020,30/08/2020,Naranja,Alto
